timecode,label,src
09:15,"Перепись","Лк 2:1-4"
09:27,"Назарет -> Вифлеем","Лк 2:4"
10:18,"Хлев","Лк 2:7"
10:41,"Волхвы идут","Мф 2:1"
12:00,"Подарки волхвов","Мф 2:11"
12:40,"Ирод и Волхвы","Мф 2:16"
13:40,"Явление Иосифу","Мф 2:13"
14:30,"Избиение младенцев","Мф 2:16-17"
14:50,"Смерть Ирода","Мф 2:19"
17:08,"Египет -> Назарет","Мф 2:19"
29:44,"Иоанн Креститель","Мф 3:5"
29:46,"Иоанн: Я крещу вас водой...","Мф 3:11"
30:03,"Кто такой Иоанн Креститель?","Ин 1:19-23"
30:25,"Крещение Иисуса Христа","Мф 3:13; Мк 1:9"
33:32,"Сей есть сын мой...","Мф 3:17; Лк 3:21; Мк 1:11"
34:12,"Иисус в пустыне","Мф 4:1; Лк 4:1; Мк 1:13"
34:40,"Искушение голодом","Мф 4:3-4; Лк 4:3-4"
35:24,"Искушение верой","Мф 4:8-10; Лк 4:5-8"
36:27,"Искушение гордыней","Мф 4:5-7; Лк 4:9-12"
37:25,"Дьявол отошел от него...","Мф 4:11; 4:13"
37:55,"Иоанн: вот Агнец Божий.","Ин 1:35-37"
38:18,"Встреча с Симоном (Петром)","Мф 4:18-20; Мк 1:16-18"
38:41,"Петр... что значит камень","Ин 1:42"
38:57,"Я сделаю вас ловцами человеков","Мф 4:19; Мк 1:17; Лк 5:10"
47:33,"Заключение Иоанна Крестителя","Мф 14:3; Мк 6:17; Лк 3:19"
53:15,"Христос и грешница","Ин 8:4-11"
01:00:25,"Филипп и Варфоломей","Ин 1:43-46"
01:00:52,"Капернаумский бесноватый","Лк 4:31; Мк 1:21"
01:04:55,"Капернаумский бесноватый","Лк 4:31; Мк 1:21"
01:05:30,"Матфей","Мф 9:9; Лк 5:27-29; Мк 2:14-15 "
01:05:54,"Две рыбы и 5 хлебов","Мф 14:13-21; Мк 6:31-44; Лк 9:10-17; Ин 6:5-15"
01:06:19,"Хождение Иисуса по водам","Мф 14:22-36; Мк 6:45-56; Ин 6:16-21"
01:10:34,"Казнь Иоанна Крестителя","Мф 14:6-11; Мк 6:21-28"
01:22:49,"Заповеди блажeнства","Мф 5:3-12; Лк 6:20-23"
01:23:59,"Царствие Божие внутри вас","Лк 17:20-21"
01:24:24,"Возлюби Господа своего...","Мф 22:37; Лк 10:27; Мк 12:30"
01:25:03,"Я пришел не упразднить закон...","Мф 5:17"
01:25:14,"Любите врагов своих...","Мф 5:44-47; Лк 6:27-35"
01:25:37,"Не здоровые имеет нужду во враче...","Мф 9:12-13; Лк 5:31-32; Мк 2:17"
01:25:52,"Никто не может служить двум господам","Мф 6:24-28"
01:27:37,"Сын Человеческий не пришел чтобы Ему служили ","Мф 20:25-28"
01:28:00,"Царство... разделившееся в себе...","Мф 12:25-26; Лк 11:17-18"
01:28:30,"Верьте делам Моим","Ин 10:37-38"
01:21:03,"Веру с горчичное зерно","Мф 17:20"
01:29:22,"Не судите да не судимы будете","Мф 7:1-5"
01:29:54,"Не давайте святыни псам...","Мф 7:6"
01:30:10,"Просите, и дано вам будет","Мф 7:7-11"
01:31:03,"Как хотите, чтобы с вами поступали люди...","Мф 7:12"
01:31:51,"Отче наш","Мф 6:9-13"
