timecode ,label                                                     ,src                                                ,description                                                                      
9:27     ,"Путешествие в Вифлеем"                                   ,"Лк 2:4"                                           ,"Описывается только в Лк. В Мф Иисус родился в Вифлееме. В Мк и Ин сведений нет" 
10:55    ,"Рождество Христово"                                      ,"?? Мф 2:1"                                        ,"Иисус рождается в хлеву, приходят пастухи - Лк. Волхвы - Мф"                    
11:17    ,"?? Поклонение пастухов"                                  ,"Лк 2:16"                                          ,"пояснение"                                                                      
11:30    ,"Поклонение Волхвов"                                      ,"Мф 2:11"                                          ,"Упоминается только в Мф"                                                        
14:30    ,"Избиение младенцев в Вифлееме"                           ,"Мф 2:16-17"                                       ,"Упоминается только в Мф"                                                        
17:08    ,"Бегство в Египет"                                        ,"Мф 2:19"                                          ,"Упоминается только в Мф"                                                        
29:45    ,"Иоанн Предтеча свидетельствует об Иисусе Христе"         ,"?? Мф 3:11, Лк 3:16, Мк 1:7-8"                    ,"найти наибольшее соответствие"                                                  
30:25    ,"Крещение Господне"                                       ,"Мф 3:13"                                          ,"пояснение"                                                                      
34:12    ,"Искушение Христа в пустыне"                              ,"Лк 4:3-12"                                        ,"порядок искушений соответсвует Лк, в Мф порядок иной"                           
37:55    ,"Призвание к апостольству Петра, Андрея, Иакова и Иоанна" ,"Ин 1:35-42"                                       ,"`Петр, что значит камень` и `вот Агнец божий` - Ин"                                 
53:15    ,"Христос и грешница"                                      ,"Ин 8:4-11"                                        ,"Присутсвует только в Ин"                                                        
01:05:54 ,"Умножение хлебов"                                        ,"??Мф 14:13-21; Мк 6:31-44; Лк 9:10-17; Ин 6:5-15" ,"Упоминание, трудно установить источник"                                          
